Transaction ID,Student ID,Book Title,Course and Year,Date Borrowed
20230928-001,2024-90766-LQ-0,Computer Hardware,DCpET-1,28/09/2023
20230928-001,2024-90766-LQ-0,Basic Programming,DCpET-1,28/09/2023
20240523-001,2024-38927-LQ-0,Building Utilities,BSARCHI-1,23/05/2024
20240523-001,2024-38927-LQ-0,Architectural Design,BSARCHI-1,23/05/2024
20230830-001,2024-62161-LQ-0,Web Development,DICT-1,30/08/2023
20230830-001,2024-62161-LQ-0,IT Fundamentals,DICT-1,30/08/2023
20231011-001,2024-83602-LQ-0,Research Writing Techniques,BSOA-1,11/10/2023
20231011-001,2024-83602-LQ-0,English Grammar and Composition,BSOA-1,11/10/2023
20230917-001,2024-44471-LQ-0,Research Writing Techniques,BSMM-1,17/09/2023
20230507-001,2024-90685-LQ-0,Curriculum Development,BSED-1,07/05/2023
20240410-001,2023-19467-LQ-0,Digital Logic Design,BSEE-2,10/04/2024
20240410-001,2023-19467-LQ-0,Power Systems,BSEE-2,10/04/2024
20240410-001,2023-19467-LQ-0,Electric Circuits,BSEE-2,10/04/2024
20230505-001,2021-00589-LQ-0,Philippine History,BSOA-4,05/05/2023
20231006-001,2022-01781-LQ-0,Curriculum Development,BSED-3,06/10/2023
20230313-001,2021-75701-LQ-0,Database System Concepts,BSIT-4,13/03/2023
20230313-001,2021-75701-LQ-0,Artificial Intelligence,BSIT-4,13/03/2023
20230716-001,2023-57920-LQ-0,Philippine History,BSAM-2,16/07/2023
20230716-001,2023-57920-LQ-0,English Grammar and Composition,BSAM-2,16/07/2023
20230716-001,2023-57920-LQ-0,Research Writing Techniques,BSAM-2,16/07/2023
20230702-001,2022-02558-LQ-0,Basic Electrical Engineering,DEET-3,02/07/2023
20230702-001,2022-02558-LQ-0,Industrial Electronics,DEET-3,02/07/2023
20230727-001,2021-89619-LQ-0,Housekeeping Management,BSHM-4,27/07/2023
20230727-001,2021-89619-LQ-0,Food and Beverage Services,BSHM-4,27/07/2023
20240127-001,2024-09823-LQ-0,Research Writing Techniques,BPA-1,27/01/2024
20240127-001,2024-09823-LQ-0,English Grammar and Composition,BPA-1,27/01/2024
20240127-001,2024-09823-LQ-0,Philippine History,BPA-1,27/01/2024
20230622-001,2023-58487-LQ-0,Philippine History,BSMM-2,22/06/2023
20230622-001,2023-58487-LQ-0,English Grammar and Composition,BSMM-2,22/06/2023
20230622-001,2023-58487-LQ-0,Research Writing Techniques,BSMM-2,22/06/2023
20230114-001,2023-04851-LQ-0,Structural Integrity,DCvET-2,14/01/2023
20230309-001,2021-55736-LQ-0,Electric Circuits,BSEE-4,09/03/2023
20230309-001,2021-55736-LQ-0,Power Systems,BSEE-4,09/03/2023
20230309-001,2021-55736-LQ-0,Digital Logic Design,BSEE-4,09/03/2023
20230519-001,2023-27253-LQ-0,Housekeeping Management,BSHM-2,19/05/2023
20230713-001,2021-24063-LQ-0,Research Writing Techniques,BSND-4,13/07/2023
20230713-001,2021-24063-LQ-0,English Grammar and Composition,BSND-4,13/07/2023
20240430-001,2024-03443-LQ-0,Research Writing Techniques,BSND-1,30/04/2024
20230331-001,2024-65478-LQ-0,Geotechnical Engineering,BSCE-1,31/03/2023
20230331-001,2024-65478-LQ-0,Hydraulics,BSCE-1,31/03/2023
20240328-001,2022-36132-LQ-0,Structural Analysis,BSCE-3,28/03/2024
20240328-001,2022-36132-LQ-0,Hydraulics,BSCE-3,28/03/2024
20231104-001,2023-73614-LQ-0,English Grammar and Composition,BEED-2,04/11/2023
20231104-001,2023-73614-LQ-0,Philippine History,BEED-2,04/11/2023
20231104-001,2023-73614-LQ-0,Research Writing Techniques,BEED-2,04/11/2023
20240329-001,2021-85180-LQ-0,English Grammar and Composition,BSND-4,29/03/2024
20240329-001,2021-85180-LQ-0,Philippine History,BSND-4,29/03/2024
